"Nature du risque","Code risque","Taux net","Taux commun quel que soit effectif ?","Catégorie"
"Fabrication de fonte, d'acier, d'articles ou tubes en fonte. Fabrication de radiateurs, de chaudières pour le chauffage central, la cuisine.","27.1ZF","6,4",,"industries de la métallurgie"
"Métallurgie des métaux non ferreux et précieux. Laminage à chaud ou relaminage sans fabrication de fonte ni d'acier.","27.4CH","4,3",,"industries de la métallurgie"
"Fonderie des métaux légers ou non ferreux.","27.5EB","5,8",,"industries de la métallurgie"
"Construction métallique, fabrication de charpentes ; fournitures et armatures métalliques préparées pour le béton armé (préparation des armatures en ateliers hors chantiers). Travail à froid des métaux (étirage, laminage, profilage, pliage, tréfilage) et métallurgie des ferro-alliages.","28.1AD","5,1",,"industries de la métallurgie"
"Fabrication d'articles, de meubles et menuiseries, de fûts et emballages métalliques, de fils et câbles isolés. Fabrication de bouchage, d'emballage, de ferblanterie, de conditionnement métallique. Repoussage des métaux en feuilles. Fabrication d'accessoires d'ameublement en bronze et/ou fer forgé.","28.1CB","3,3",,"industries de la métallurgie"
"Chaudronnerie et soudure.","28.3CG","5,1",,"industries de la métallurgie"
"Fabrication de tubes en acier ou de tubes isolateurs (sauf tubes en fonte). Fabrication de chaudronnerie de contenants (réservoirs, citernes, bouteilles pour gaz comprimés), de générateurs de vapeur et accessoires, d'équipements généralement sous pression et de chaudronnerie nucléaire. Fabrication de tuyaux métalliques flexibles.","28.3CH","3,6",,"industries de la métallurgie"
"Forge, estampage, matriçage.","28.4AC","3,8",,"industries de la métallurgie"
"Découpage, emboutissage. Sciage des métaux, graveurs-estampeurs. Décolletage.","28.4BI","3,4",,"industries de la métallurgie"
"Métallurgie des poudres et frittage.","28.4CA","3,8",,"industries de la métallurgie"
"Traitement et revêtement des métaux.","28.5AA","4,1",,"industries de la métallurgie"
"Mécanique industrielle.","28.5DA","3,8",,"industries de la métallurgie"
"Usinage de précision ou réparation d'articles métalliques divers.","28.5DF","2,4",,"industries de la métallurgie"
"Travaux d'intervention, de montage, démontage et entretien de matériels divers dans les usines. - Réparateurs mécaniciens. - Fabrication de manèges pour fêtes foraines.","28.5DG","4",,"industries de la métallurgie"
"Fabrication, montage, entretien, réparation de machines, équipements, outillages : machine-outil, machine pour les industries de process (1), du textile, du cuir, de la chaussure ; matériel fixe et roulant pour le transport guidé ; matériel incendie ; ascenseur, monte-charge, porte automatique et escalier mécanique ; équipements de levage et de manutention.","28.6DF","2,6",,"industries de la métallurgie"
"Fabrication de boulonnerie, ressorts, visseries et quincaillerie. Fabrication et/ou entretien de couverts, couteaux, ciseaux, rasoirs. Fabrication d'articles de sport, jeux, jouets, articles de puériculture non classés par ailleurs.","28.6FB","2,9",,"industries de la métallurgie"
"Fabrication de composants mécaniques : transmissions hydrauliques et pneumatiques, turbines, compresseurs, roulements, matrices, poinçons, moules et modèles, organes mécaniques de transmission. Fabrication de moteurs autres que pour aéronefs, automobiles et motocycles. Reconstruction de moteurs sauf pour l'aéronautique.","29.1AF","2,4",,"industries de la métallurgie"
"Fabrication de pompes et d'articles de robinetterie.","29.1FB","2",,"industries de la métallurgie"
"Fabrication, installation, entretien, réparation de matériels aérauliques et thermiques, de fours et de brûleurs, d'appareils frigorifiques domestiques et industriels. Fabrication d'appareils ménagers électriques.","29.2FI","3,2",,"industries de la métallurgie"
"Fabrication et/ou réparation d'engins mobiles et systèmes pour : la construction, les mines, le forage, la préparation des minerais et matériaux, le matériel agricole.","29.3DC","3",,"industries de la métallurgie"
"Fabrication, réparation, entretien de : matériels électriques, électromagnétiques industriels, appareillages électriques d'installation, accumulateurs, isolateurs, piles, condensateurs, lampes électriques, matériels électriques pour moteurs et véhicules. Montage de petits matériels électriques. Réparation, entretien de matériels ménagers.","31.2AG","2,4",,"industries de la métallurgie"
"Fabrication, installation, entretien, réparation de : matériels et appareils électroniques de réception, de téléphonie, d'enregistrement, d'imagerie médicale, de composants, d'éléments chauffants. Fabrication, installation, entretien, réparation de matériel bureautique, informatique et activités connexes.","32.1BC","1,4",,"industries de la métallurgie"
"Fabrication, réparation de matériel médico-chirurgical, de prothèses y compris dentaires, d'instruments de précision, d'optique, d'horlogerie, de laboratoire. Emaillage, bijouterie, joaillerie, orfèvrerie, gravage de médailles, de monnaies (hors commerce).","33.1BC","1,7",,"industries de la métallurgie"
"Fabrication, installation d'appareils de mesure, de comptage, de signalisation, de contrôle, de sécurité, de régulation. Conception et installation de systèmes de contrôle et de production automatisée.","33.2BK","1,7",,"industries de la métallurgie"
